name,type,description,abbrev,url,contact_info,year_founded,date_start,date_end,sphere,Recurs,Region,Country,State,City
RIPE 59,Initiatives & Events,"""The final Plenary session of the [second] day featured several presentations on DNSSEC, including the announcement from Joe Abley of ICANN and Matt Larson of VeriSign that a draft timeline for signing the root zone has been prepared, with full roll-out planned for 1 July 2010.""",,http://ripe59.ripe.net/meeting-report.php,,,10/5/2010,10/9/2010,Global,,,Portugal,,Lisbon
DNSSEC for Everybody: A Beginner's Guide,Initiatives & Events,"""DNSSEC continues to be deployed around the world at an ever accelerating pace. From the Root, to both Generic Top Level Domains (gTLDs) and Country Code Top Level Domains (ccTLDs), the push is on to deploy DNSSEC to every corner of the internet. Businesses and ISPs are building their deployment plans too and interesting opportunities are opening up for all as the rollout continues.
Worried that you're getting left behind? Don't really understand DNSSEC? Then why not come along to the second 'DNSSEC for Beginners' session where we hope to demystify DNSSEC and show how you can easily and quickly deploy DNSSEC into your business. Come and find out how it all works, what tools you can use to help and meet the community that can help you plan and implement DNSSEC.
The session is aimed at everyone, so no technical knowledge is required. Come and find out what it's all about…!""",,http://la51.icann.org/en/schedule/mon-dnssec-everybody,,,10/13/2014,,Global,,,USA,California,Los Angeles
DNSSEC Deployment Initiative,Initiatives & Events,"“The DNSSEC Deployment Initiative works to encourage all sectors to voluntarily adopt security measures that will improve security of the Internet’s naming infrastructure, as part of a global, cooperative effort that involves many nations and organizations in the public and private sectors. Until 2104 the DNSSEC Deployment Initiative was supported by the U.S. Department of Homeland Security Science and Technology (S&T) Directorate.”",,http://www.dnssec-deployment.org/,dnssec-deployment@dnssec-deployment.org,,,,Global,,,,,
DNSSEC at FOSE 2012,Initiatives & Events,"""The DNSSEC Deployment Initiative in conjunction with FOSE held the workshop, Making DNSSEC the Trust Infrastructure: Where Domain Name Security is Headed, at FOSE 2012 from 10:00 AM – 4:00 PM on April 3rd.""",,http://fose.com/events/fose-2012/sessions/tuesday/ws1-making-dnssec-the-trust-infrastructure.aspx,,,4/3/2012,,Global,,,USA,,Washington D.C.
Securing the Federal Government’s Domain Name System Infrastructure,Laws & Policies,"""This memorandum describes existing and new policies for deploying Domain Name System Security (DNSSEC) to all Federal information systems by December 2009. DNSSEC provides cryptographic protections to DNS communication exchanges, thereby removing threats of DNS-based attacks and improving the overall integrity and authenticity of information processed over the Internet.""",,http://www.whitehouse.gov/sites/default/files/omb/memoranda/fy2008/m08-23.pdf,,,8/22/2008,,National,,,,,
DNSSEC Policy and Practice Statement,Laws & Policies,"""The purpose of this document is to enable stakeholders to determine the level of trust they wish to grant to the RIPE NCC DNSSEC management. It details the procedures and policies employed by the RIPE NCC in operating those zones for which it offers DNSSEC service.
This document conforms to the IETF Internet draft for a DNSSEC Practice Statement, or DPS (see: draft-ietf-dnsop-dnssec-dps-framework-01).""",,http://www.ripe.net/data-tools/dns/dnssec/dnssec-policy-and-practice-statement,,,6/1/2010,,Global,,,,,
DNS Security Extensions (Verisign),Research & Advocacy,"“Web site that provides excellent and important background information for a general and technically literate audience on the history and development of the protocol, and useful tools.”
Describes DNSSEC and Verisign's involvement in DNSSEC development.",,http://www.verisigninc.com/en_US/innovation/dnssec/index.xhtml?dmn=dnssec.org,,,,,Global,,,,,
"DNSSEC: The Protocol, Deployment, and a Bit of Development",Research & Advocacy,,,http://www.cisco.com/web/about/ac123/ac147/archived_issues/ipj_7-2/dnssec.html,,,6/1/2004,,Global,,,,,
DNS Security and Stability Analysis Working Group (DSSA) Final Report,Research & Advocacy,"""This is the first of two reports from the DNS Security and Stability Analysis working group. The goal of this document is to bring forward the substantial work that has been completed. The DSSA recommends the acceptance of the Final Report. It further recommends that the Final Report be disseminated to the membership of each of the participating SO’s and AC’s for their consideration. The DSSA believes that there is substantial value in this Final Report as it outlines a shared mechanism to rapidly collect and consolidate risk-assessment scenarios across a broad and diverse group of interested stakeholders.
This has been in many respects a 'pioneering' cross-constituency security-assessment effort that has developed knowledge and processes that others will hopefully find helpful and can be reused in the future.""",,http://ccnso.icann.org/workinggroups/dssa-final-08nov13-en.pdf,,,11/1/2013,,Global,,,,,
DNS Security and Stability Analysis Working Group,Actor,"""The objective of the DSSA-WG is to draw upon the collective expertise of the participating SOs and ACs, solicit expert input and advice and report to the respective participating SOs and ACs on:
A. The actual level, frequency and severity of threats to the DNS;
B. The current efforts and activities to mitigate these threats to the DNS; and
C. The gaps (if any) in the current security response to DNS issues.""",DSSA-WG,http://ccnso.icann.org/workinggroups/dssa-final-08nov13-en.pdf,,,6/1/2010,,Global,,,,,
Worldwide Infrastructure Security Report,Research & Advocacy,"“This report provides the results of Arbor Networks’ ninth annual Worldwide Infrastructure Security Survey. The survey covers a 12-month period from November 2012 through the end of October 2013. This report documents the collective experiences, observations and concerns of the operational security community in 2013.”",,http://pages.arbornetworks.com/rs/arbor/images/WISR2014.pdf,,,11/1/2012,10/1/2013,Global,,,,,
"DNS Best Practices, Network Protections, and Attack Identification",Research & Advocacy,"""This white paper provides information on general best practices, network protections, and attack identification techniques that operators and administrators can use for implementations of the Domain Name System (DNS) protocol.""",,http://www.cisco.com/web/about/security/intelligence/dns-bcp.html,,,,,Global,,,,,
Domain Name System (DNS) Security Reference Architecture,Research & Advocacy,"“The overall purpose of the DNS Security Reference Architecture is to optimize and standardize the DNS currently in use by the Federal civilian government, and to improve the Federal government’s security posture by reducing the threats against the DNS at Federal civilian agencies.”
""This document is the product of a multi-agency collaborative initiative to provide guidance for the successful and secure implementation of Domain Name System (DNS) at Federal civilian agencies.""",,http://www.dhs.gov/sites/default/files/publications/dns_reference_architecture_0.pdf,,,6/21/2011,,Global,,,,,
